Organisation,Ministry Type
Attorney General's Office,UK specific
Cabinet Office,Cabinet Office / Fed. Government
"Department for Business, Energy & Industrial Strategy",Economic Affairs
"Department for Digital, Culture, Media and Sport","Digital, Culture, Media, and Sport (UK)"
Department for Education,Education \& Research
Department for Environment Food and Rural Affairs,Food \& Agriculture
Department for International Development,Int. Trade \& Development
Department for International Trade,Int. Trade \& Development
Department for Transport,Transport \& Digital
Department for Work and Pensions,Labour
Department of Health and Social Care,Health \& Social Care
Foreign and Commonwealth Office,Foreign Office
HM Treasury,Finance
Home Office,Home / Interior
Ministry of Defence,Defence
"Ministry of Housing, Communities and Local Government","Housing, Communities, and Local Government (UK)"
Ministry of Justice,Justice
Northern Ireland Office,UK specific
Federal Ministry of Defence,Defence
Federal Ministry of Education and Research,Education \& Research
Federal Ministry of Labour and Social Affairs,Labour
"Federal Ministry for the Environment, Nature Conservation and Nuclear Safety",Environment
Federal Ministry for Economic Affairs and Energy,Economic Affairs
The Press and Information Office of the Federal Government,Cabinet Office / Fed. Government
Federal Foreign Office,Foreign Office
Federal Ministry of Finance,Finance
Federal Ministry of Justice and Consumer Protection,Justice
"Federal Ministry of the Interior, Building and Community",Home / Interior
Federal Ministry of Food and Agriculture,Food \& Agriculture
"Federal Ministry for Family Affairs, Senior Citizens, Women and Youth",Health \& Social Care
Federal Ministry of Health,Health \& Social Care
Federal Ministry of Transport and Digital Infrastructure,Transport \& Digital
Federal Ministry for Economic Cooperation and Development,Int. Trade \& Development
